ID,Pos_Count,Con_Count,P_r1_on,P_r1_dur,P_elab_on,P_elab_dur,P_r2_on,P_r2_dur,C_r1_dur,C_r1_dur,C_elab_on,C_elab_dur,C_r2_on,C_r2_dur,r1_on,r1_dur,elab_on,elab_dur,r2_on,r2_dur,P_feel_amq,P_feel1,P_feel2,C_feel_amq,C_feel1,C_feel2,Pos_feelch,Con_feelch,Differ_feelch,P_feel_2mon,C_feel_2mon,P_feelch_2mon,C_feelch_2mon,Differ_feelch_2mon,P_int_amq,P_int1,P_int2,C_int_amq,C_int1,C_int2,Pos_intch,Con_intch,Differ_intch,P_date,C_date,hipp_pos,hipp_con,hipp_diff,nacc_pos,nacc_con,nacc_diff,vmpfc_pos,vmpfc_con,vmpfc_diff
330,10,13,2.7815,2.9959,4.0975,19.4466,1.8097,2.0265,2.655230769,2.852230769,3.084769231,13.68792308,1.589076923,1.787923077,2.710130435,2.914695652,3.525086957,16.19169565,1.685,1.891652174,2.4,2.5,3.2,2.230769231,2.692307692,2.769230769,0.7,0.076923077,0.623076923,4.6,4.307692308,2.1,1.615384615,0.484615385,3.6,3.6,3.1,3.692307692,3.846153846,3.307692308,-0.5,-0.538461538,0.038461538,4.3,4.230769231,0.413167122,-0.222374795,0.635541917,-0.025425669,-0.024708311,-0.000717358,-0.184336101,-0.123541553,-0.060794548
331,8,15,4.88675,6.406125,5.527875,5.939,2.26525,2.424625,3.309533333,3.4622,2.804533333,3.123266667,3.494466667,3.648133333,3.858130435,4.486173913,3.751782609,4.102652174,3.066913043,3.222565217,3.75,4.625,5.375,3.266666667,3.866666667,4.333333333,0.75,0.466666667,0.283333333,5.625,4.266666667,1,0.4,0.6,2.125,2.125,1.25,2.266666667,2.266666667,2.2,-0.875,-0.066666667,-0.808333333,4.625,5.133333333,0.07824608,0.068294796,0.009951284,-0.234738239,0.259520223,-0.494258462,0.091287093,0.325863739,-0.234576646
332,9,16,2.205,2.338777778,3,20,1.975222222,2.109666667,2.2981875,2.4273125,2.833875,17.74425,2.0230625,2.15375,2.26464,2.39544,2.89368,18.55632,2.00584,2.13788,3,4.111111111,4.888888889,3.0625,4.3125,4.625,0.777777778,0.3125,0.465277778,,,,,,1.777777778,2,1.444444444,1.8125,1.8125,1.5,-0.555555556,-0.3125,-0.243055556,3.444444444,3.8125,0.285078658,0.142963353,0.142115305,0.311804782,-0.55,0.861804782,-0.347439614,0.041956636,-0.389396251
334,10,15,2.6243,2.7608,2.8739,6.5895,2.0471,2.18,2.5202,2.634066667,2.658133333,2.9368,1.832466667,1.944,2.56184,2.68476,2.74444,4.39788,1.91832,2.0384,3.4,4.4,4.3,3.533333333,4.266666667,3.933333333,-0.1,-0.333333333,0.233333333,5,4.933333333,0.6,0.666666667,-0.066666667,2.7,3.4,3.2,2.733333333,3.2,3.2,-0.2,0,-0.2,3.6,3.866666667,0.134839972,-0.305865349,0.440705322,-0.277171055,0.032196353,-0.309367407,-0.157313301,-0.150920403,-0.006392899
335,9,13,2.770666667,2.981111111,5.670666667,6.129444444,2.829222222,3.039222222,2.092769231,2.299230769,2.667846154,3.033538462,3.039076923,3.245846154,2.370090909,2.578181818,3.896272727,4.300045455,2.953227273,3.161318182,4,4.555555556,4.888888889,3.692307692,4,4.538461538,0.333333333,0.538461538,-0.205128205,,,,,,2.111111111,1.555555556,1.111111111,2.923076923,1.923076923,1.846153846,-0.444444444,-0.076923077,-0.367521368,4.111111111,4.230769231,0.05976143,-0.259437261,0.319198691,0.368528821,-0.500343289,0.86887211,0.129483099,-0.463280823,0.592763922
336,13,15,2.918923077,3.138538462,4.274076923,4.744615385,2.859769231,3.078307692,3.5818,3.801466667,3.312533333,4.8052,3.727866667,4.666333333,3.274035714,3.493678571,3.758964286,4.777071429,3.324821429,3.929035714,2.538461538,3.538461538,4.076923077,2.733333333,4.2,4.066666667,0.538461538,-0.133333333,0.671794872,4.076923077,4.466666667,0.538461538,0.266666667,0.271794872,3.384615385,3.923076923,3.230769231,3.066666667,2.866666667,3.133333333,-0.692307692,0.266666667,-0.958974359,5.076923077,5.133333333,-0.463728636,-0.06762737,-0.396101266,-0.103050808,0.030995878,-0.134046686,0.068700539,-0.177521847,0.246222386
337,10,10,4.7399,4.877,5.2865,12.3245,1.8067,1.9443,3.693,4.9182,2.9689,6.6145,2.2064,2.3456,4.21645,4.8976,4.1277,9.4695,2.00655,2.14495,2.9,3.5,4.5,2.6,3,4.1,1,1.1,-0.1,6.5,5.4,3,2.4,0.6,3.5,3,2.2,3.5,3.1,2,-0.8,-1.1,0.3,4,4.7,0.094785331,0.054704761,0.04008057,0.413608717,-0.358620098,0.772228815,0.112019028,-0.210714634,0.322733661
338,13,14,3.765692308,3.940692308,3.118615385,3.543769231,2.620846154,2.797461538,2.648857143,2.784142857,3.412857143,3.709428571,2.267357143,2.403714286,3.186592593,3.341,3.271185185,3.629666667,2.437555556,2.593296296,3.615384615,3.461538462,4,3.642857143,3.785714286,3.857142857,0.538461538,0.071428571,0.467032967,5.769230769,5.785714286,2.307692308,2,0.307692308,2.384615385,2.846153846,2.230769231,2.5,2.785714286,2.214285714,-0.615384615,-0.571428571,-0.043956044,3.615384615,3.785714286,0.325302648,-0.40824829,0.733550938,-0.19596545,-0.40824829,0.21228284,-0.11757927,-0.40824829,0.29066902
339,14,13,4.443928571,4.680928571,3,20,5.748785714,5.984214286,5.363384615,5.449307692,3,20,5.515230769,7.392,4.88662963,5.050888889,3,20,5.636333333,6.662037037,3.857142857,3.571428571,3.071428571,3.538461538,3.307692308,3.230769231,-0.5,-0.076923077,-0.423076923,,,,,,2.785714286,2.571428571,2.357142857,3.307692308,2.538461538,2.307692308,-0.214285714,-0.230769231,0.016483516,4.857142857,4.076923077,0.561,0.120106513,0.440893487,0.21913719,-0.23389163,0.453028821,0.402152866,0.458301167,-0.056148302
340,13,16,3.732230769,3.984153846,5.806846154,7.581769231,3.460384615,4.543384615,4.2701875,5.227125,5.0223125,6.493625,4.2636875,4.5471875,4.029034483,4.669931034,5.374,6.981413793,3.903586207,4.545482759,3.769230769,4.230769231,4.461538462,3.625,4.5,4.75,0.230769231,0.25,-0.019230769,,,,,,3.076923077,2.923076923,2.846153846,2.8125,2.9375,3,-0.076923077,0.0625,-0.139423077,4.384615385,3.875,-0.141094396,-0.227870008,0.086775612,0.107231741,-0.330178991,0.437410732,0.253969913,0.348780624,-0.094810711
341,14,16,2.294428571,2.536285714,2.854142857,3.343785714,1.944928571,2.185214286,2.441125,2.6729375,2.624125,3.017,1.7889375,2.020125,2.372666667,2.609166667,2.731466667,3.1695,1.861733333,2.097166667,3.571428571,3.928571429,5.071428571,3.3125,3.8125,4.6875,1.142857143,0.875,0.267857143,5.571428571,5.25,1.642857143,1.4375,0.205357143,1.714285714,2.142857143,1.285714286,1.9375,2.3125,1.375,-0.857142857,-0.9375,0.080357143,3.714285714,4.6875,0.155813383,0.3821067,-0.226293317,0.002258165,-0.53,0.532258165,-0.219042002,0.302831451,-0.521873454
342,9,12,1.194,1.382111111,1.489777778,1.927222222,0.988444444,1.176333333,1.306083333,1.502833333,2.02675,2.388166667,1.421083333,1.615916667,1.258047619,1.451095238,1.796619048,2.190619048,1.235666667,1.42752381,2.111111111,2.777777778,3.666666667,2.333333333,3.333333333,3.833333333,0.888888889,0.5,0.388888889,,,,,,3.777777778,2.888888889,2.666666667,4.083333333,2.416666667,1.666666667,-0.222222222,-0.75,0.527777778,3.777777778,3.666666667,0.384723579,-0.255502988,0.640226568,0.655778828,-0.37770007,1.033478898,0.061206024,0.144414733,-0.083208709
